grantee,description,Funding began in,Total funding,Focus,Region of Impact
Toggle menu,,2007,"$3,950,000",Education,Ghana
Toggle menu,,2016,$7.3 million,Education,"India, Middle East, Sub-Saharan Africa"
Toggle menu,,2016,$1.2 million,Education,India
Toggle menu,,2015,"$500,000",Education,United States
Toggle menu,,2016,$2.5 million,Education,"Sudan, Lebanon, Jordan"
Toggle menu,,2013,$3.85 million,Education,India
Toggle menu,,2010,$11 million,Education,Global
Toggle menu,,2016,$10 million,Education,India
Toggle menu,,2016,$1 million,Education,Lebanon
Toggle menu,,2016,$5.1 million,Education,Brazil
Toggle menu,,2016,$2 million,Education,"Kenya, Uganda, Nepal"
Toggle menu,,2015,$4 million,Education,"Middle East, Sub-Saharan Africa"
Toggle menu,,2017,$2.2 million,Education,Indonesia
Toggle menu,,2013,$5.5 million,Education,Global
826 Valencia Tenderloin Center,Bringing young people’s stories’ to life with technology,2015,"$500,000",CS Education,United States
Anita Borg Institute,"Support for the BRAID initiative, a partnership with universities across the nation to  increase the percentage of women and students of color majoring in computer science",2016,"$300,000",CS Education,
Calliope,Distribute Calliope micro-computers and offer related supports for schoolchildren in Germany,2016,"$555,000",CS Education,
Clooney Foundation for Justice,Bringing refugees and other out-of-school children into formal education by developing a new primary school model that uses digital tools in Lebanon,2016,"$1,000,000",Education,Lebanon
Code.org,"Expanding access to computer science education, exposing millions of students to their first coding experiences while also partnering with schools and districts to introduce CS courses into the formal curriculum",2016,"$1,500,000",CS Education,
First Australia,Expanding access to robotics clubs in underserved schools in Australia,2016,"$693,810",CS Education,
Foundation for Learning Equality,"Help young people around the world achieve a quality basic education, by building software that enables the creation and distribution of digital educational resources in communities with limited access to the internet",2016,"$5,000,000",Education,Global
Future Class Network / 미래교실네트워크,Platform for supporting teacher information sharing and funding student projects,2016,"$457,737",Education,
Hispanic Foundation of Silicon Valley,Significantly increase high school and college graduation rates for Latino students in Mountain View and Sunnyvale by ensuring Latino parents are knowledgeable about the local education system and how best to support their children to achieve academic results and fulfilling careers,2016,"$250,000",Education,US
IAIS Fraunhofer,"To deliver offline STEM and coding trainings to 64,000 primary and secondary pupils and 1,500 teachers",2016,"$5,000,000",CS Education,
JUMP SP / 사단법인 점프,Mentoring program for disadvantaged youth in which mentors (university students) can earn scholarships and credits for college,2016,"$228,869",Education,
Khan Academy,"Core product support for Khan Academy’s mission to provide a free, world-class education for anyone, anywhere",2016,"$5,000,000",Education,Global
Kiron Open Higher Education gUG (haftungsbeschränkt),Online degrees for refugees,2016,"$281,400",Education,
Libraries without Borders,"Expansion of Ideas Boxes to more countries, enabling access to tools and content in refugee settings, rural areas or underserved neighborhoods",2016,"$2,250,000",Education,
Like Lion / 멋쟁이사자처럼,Social impact-focused coding bootcamps,2016,"$457,737",CS Education,
